Stories,,,,
Sales by Items By Group,,,,
ICED WHITE MOCHA MEDIUM,,1888,"515,809.13",
ICED AMERICANO LARGE,,123,"33,878.61",
ICED LATTE LARGE,,708,"199,489.73",
ICED MOCHA LARGE,,69,"21,593.96",
ICED WHITE MOCHA LARGE,,501,"155,063.09",
DOUBLE SHOT SHAKEN MEDIUM,,1013,"243,831.81",
DOUBLE SHOT SHAKEN LARGE,,193,"54,185.35",
ICED MATCHA LATTE SMALL,,953,"192,352.97",
ICED MATCHA LATTE MEDIUM,,1651,"402,051.29",
ICED MATCHA LATTE LARGE,,775,"221,634.24",
DOUBLE SHOT SHAKEN SMALL,,1286,"166,815.62",
ICED CARAMEL MACCHIATO SMALL,,791,"187,752.28",
ICED CARAMEL MACCHIATO MEDIUM,,1642,"454,097.90",
ICED CARAMEL MACCHIATO LARGE,,417,"133,285.62",
ICED TOFFEE NUT LATTE SMALL,,31,"7,376.70",
19-Jan-26,Years:2025 Months:0,,Page 4 of,359
Description,Barcode,Qty,Total Amount,
ICED TOFFEE NUT LATTE MEDIUM,,96,"25,806.13",
ICED CLASSIC CHOC MEDIUM,,54,"14,766.13",
ICED CLASSIC CHOC SMALL,,37,"8,665.59",
BLUE NADE,,332,"89,044.32",
ICED DOUBLE SHOT TOFFEE NUT SMALL,,6,"1,428.42",
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,,3,800.24,
SIGNATURE ICED CHOCOLATE SMALL,,9,"1,921.92",
SIGNATURE ICED CHOCOLATE MEDIUM,,12,"3,360.36",
ICED TOFFEE NUT LATTE LARGE,,16,"5,267.87",
ICED CLASSIC CHOC LARGE,,10,"3,145.95",
SIGNATURE ICED CHOCOLATE LARGE,,3,912.91,
ICED SPANISH LATTE SMALL,,662,"158,023.48",
ICED SPANISH LATTE MEDIUM,,1249,"377,626.18",
ICED SALTED CARAMEL LATTE SMALL,,173,"40,807.87",
ICED SALTED CARAMEL LATTE MEDIUM,,326,"91,862.82",
ICED SALTED CARAMEL LATTE LARGE,,78,"26,349.25",
COLD BREW BOTTLE,,436,"59,258.26",
Total by Group: MIXED COLD BEVERAGES,,22639,"5,360,581.63",
Group: BLENDED BRINKS,,,,
COFFEE FRAPPE SMALL,,225,"43,743.06",
COFFEE FRAPPE MEDIUM,,229,"53,259.07",
CARAMEL FRAPP SMALL,,1640,"384,807.72",
CARAMEL FRAPP MEDIUM,,2287,"634,455.14",
CARAMEL FRAPP LARGE,,846,"276,544.61",
COFFEE FRAPP LARGE,,181,"48,653.69",
MOCHA FRAPP SMALL,,375,"83,627.09",
MOCHA FRAPP MEDIUM,,725,"197,497.30",
MOCHA FRAPP LARGE,,303,"91,741.29",
ESPRESSO FRAPP SMALL,,420,"78,662.16",
ESPRESSO FRAPP MEDIUM,,618,"143,655.98",
ESPRESSO FRAPP LARGE,,130,"34,910.99",
VANILLA CREAM FRAPP SMALL,,147,"32,336.64",
VANILLA CREAM FRAPP MEDIUM,,140,"36,749.19",
VANILLA CREAM FRAPP LARGE,,42,"12,720.84",
WHITE MOCHA FRAPP SMALL,,268,"61,754.50",
WHITE MOCHA FRAPP MEDIUM,,413,"110,217.30",
WHITE MOCHA FRAPP LARGE,,165,"50,469.37",
19-Jan-26,Years:2025 Months:0,,Page 5 of,359
Description,Barcode,Qty,Total Amount,
WHITE MOCHA CREAM FRAPP SMALL,,38,"8,269.04",
WHITE MOCHA CREAM FRAPP MEDIUM,,71,"18,906.31",
CHOCOLATE CREAM FRAPP MEDIUM,,396,"108,678.32",
CHOCOLATE CREAM FRAPP LARGE,,53,"14,921.86",
WHITE MOCHA CREAM FRAPP LARGE,,33,"10,013.84",
CHOCOLATE CREAM FRAP SMALL,,283,"63,877.45",
CARAMEL CREAM  FRAPP MEDIUM,,305,"83,562.52",
CARAMEL CREAM  FRAPP LARGE,,53,"16,764.29",
CARAMEL CREAM FRAPP SMALL,,391,"89,490.90",
MATCHA CREAM  FRAPP SMALL,,160,"33,093.81",
MATCHA CREAM FRAPP MEDIUM,,248,"65,878.44",
MATCHA CREAM FRAPP LARGE,,130,"40,027.60",
STRAWBERRY CREAM FRAPP SMALL,,674,"150,796.07",
STRAWBERRY CREAM FRAPP MEDIUM,,512,"140,754.23",
STRAWBERRY CREAM FRAPP LARGE,,144,"43,479.88",
VANILLA FRAP SMALL,,113,"26,294.35",
VANILLA FRAPP MEDIUM,,129,"34,279.64",
VANILLA FRAPP LARGE,,14,"4,231.65",
HAZELNUT FRAPP SMALL,,25,"6,027.15",
HAZELNUT FRAPP MEDIUM,,54,"14,554.96",
HAZELNUT FRAPP LARGE,,5,"1,410.81",
TOFFEENUT FRAP SMALL,,12,"3,047.20",
TOFFEENUT FRAP MEDIUM,,36,"10,334.70",
TOFFEENUT CREAM  FRAP SMALL,,4,"1,070.26",
TOFFEENUT CREAM  FRAP MEDIUM,,10,"2,905.37",
TOFFEENUT CREAM  FRAP LARGE,,2,700,
TOFFEENUT FRAP LARGE,,12,"4,167.57",
SALTED CARAMEL FRAPPE SMALL,,73,"18,120.67",
SALTED CARAMEL CREAM FRAPPE SMALL,,26,"6,635.79",
SALTED CARAMEL CREAM FRAPPE MEDIUM,,66,"19,179.64",
SALTED CARAMEL CREAM FRAPPE LARGE,,23,"7,453.75",
SALTED CARAMEL FRAPPE MEDIUM,,170,"49,231.14",
SALTED CARAMEL FRAPPE LARGE,,108,"36,028.53",
STRAWBERRY SHAKE,,3,990.99,
Total by Group: BLENDED BRINKS,,13530,"3,510,984.68",
Group: ICE TEA,,,,
ICED PEACH TEA  SMALL,,314,"31,801.23",
ICED PEACH TEA  MEDIUM,,177,"43,202.40",
19-Jan-26,Years:2025 Months:0,,Page 6 of,359
Description,Barcode,Qty,Total Amount,
ICED LEMON TEA  SMALL,,6,"1,400.00",
ICED LEMON TEA  MEDIUM,,2,533.33,
ICED PEACH TEA LARGE,,78,"21,673.51",
Total by Group: ICE TEA,,577,"98,610.48",
Group: ADD SYRUP,,,,
ADD CARAMEL SMALL,,653,"14,660.36",
ADD VANILLA SMALL,,547,"15,523.84",
ADD HAZELNUT SMALL,,309.5,"9,922.94",
ADD CARAMEL MEDIUM,,1438,"47,414.51",
ADD VANILLA MEDIUM,,1382,"45,809.01",
ADD HAZELNUT MEDIUM,,391,"12,891.20",
ADD SHOT,,8074.5,"238,823.39",
ADD WHIPPED CREAM,,945,"32,782.52",
ADD MOCHA SMALL,,32,695.59,
ADD WHITE MOCHA SMALL,,1654,"26,646.94",
ADD CARAMEL DRIZZLE,,939,"31,348.02",
ADD CHOCOLATE DRIZZLE,,299,"10,161.11",
ADD CARAMEL LARGE,,477,"15,990.03",
ADD VANILLA LARGE,,583,"19,528.95",
ADD HAZELNUT LARGE,,129,"4,395.14",
ADD CARAMEL SF MEDIUM,,1113,"37,294.20",
ADD CARAMEL SF LARGE,,361,"12,098.50",
ADD VANILLA SF SMALL,,1362,"45,294.36",
ADD VANILLA SF MEDIUM,,1624,"53,374.42",
ADD VANILLA SF LARGE,,575,"19,318.14",
ADD CARAMEL SF SMALL,,1184,"39,863.36",
ADD YIRGACHEFFE SHOT,,372,"12,602.58",
REPLACE 1 SHOT YIRGACHEFFE,,2017,"132,464.38",
REPLACE 2 SHOT YIRGACHEFFE,,1843,"120,424.44",
REPLACE 3 SHOT YIRGACHEFFE,,300,"19,814.53",
NO WHIPPED CREAM,,147,0,
ADD WHITE MOCHA MEDIUM,,1155,"37,790.81",
ADD WHITE MOCHA LARGE,,305,"10,247.69",
1 SHOT DECAFE,,523,0,
2 SHOT DECAFE,,765,0,
3 SHOT DECAFE,,140,0,
ADD MOCHA LARGE,,64,"2,188.14",
ADD MOCHA MEDIUM,,101,"3,425.80",
19-Jan-26,Years:2025 Months:0,,Page 7 of,359
Description,Barcode,Qty,Total Amount,
STRAWBERRY DRIZZLE TOPPING,,49,"1,610.69",
ADD TOFFEE NUT SMALL,,5,120.12,
ADD TOFFEE NUT MEDIUM,,6,200.03,
ADD BANANA SAUCE SMALL,,31,983.81,
ADD BANANA SAUCE MEDIUM,,51,"1,613.81",
ADD BANANA SAUCE LARGE,,6,393.39,
ADD RASPBERRY SAUCE SMALL,,61,"2,033.33",
ADD RASPBERRY SAUCE MEDIUM,,69,"2,303.33",
ADD RASPBERRY SAUCE LARGE,,26,"1,746.67",
ADD MATCHA SMALL,,5,225.23,
ADD MATCHA MEDIUM,,1,54.05,
ADD MATCHA LARGE,,3,186.19,
Total by Group: ADD SYRUP,,32117,"1,084,265.56",
Group: REPLACE,,,,
REPLACE ALMOND SMALL,,453,"43,617.64",
REPLACE ALMOND MEDIUM,,632,"78,077.59",
REPLACE COCONUT SMALL,,584,"55,127.46",
REPLACE COCONUT MEDIUM,,681,"67,769.68",
REPLACE SKIMMED MILK SMALL,,2445,0,
REPLACE SKIMMED MILK MEDIUM,,3421,0,
REPLACE LACTOSE FREE SMALL,,2697,0,
REPLACE LACTOSE FREE MEDIUM,,3069,0,
REPLACE SUGAR FREE OAT MEDIUM,,234,"31,192.07",
REPLACE SUGAR FREE OAT SMALL,,174,"16,846.67",
REPLACE SUGAR FREE SOYA SMALL,,65,"6,568.02",
REPLACE SUGAR FREE SOYA MEDIUM,,56,"7,646.73",
REPLACE SUGAR FREE ALMOND SMALL,,178,"18,034.32",
REPLACE SUGAR FREE ALMOND MEDIUM,,218,"29,540.90",
REPLACE ALMOND LARGE,,197,"29,879.28",
REPLACE COCONUT LARGE,,226,"23,896.12",
REPLACE LACTOSE FREE LARGE,,635,0,
REPLACE SKIMMED MILK LARGE,,913,0,
REPLACE SUGAR FREE ALMOND LARGE,,86,"14,423.57",
REPLACE SUGAR FREE OAT LARGE,,60,"9,991.59",
REPLACE SUGAR FREE SOYA LARGE,,17,"2,870.12",
ADD FULL FAT MILK,,23,0,
ADD SKIMMED MILK,,4,0,
Total by Group: REPLACE,,17068,"435,481.77",
19-Jan-26,Years:2025 Months:0,,Page 8 of,359
Description,Barcode,Qty,Total Amount,
Total by Division: COLD BAR SECTION,,85931,"10,489,924.12",
Division: GRAB&GO BEVERAGES,,,,
Group: SOFT DRINKS,,,,
WATER,,14487,"544,524.16",
ORANGE JUICE,,428,"72,347.00",
LEMON JUICE,,164,"27,747.90",
MAWARDI JUICE,,79,"13,323.42",
APPLE JUICE,,105,"17,692.49",
POMEGRANATE JUICE,,108,"18,200.15",
SAN BENEDETTO CLEMENTINE 330ML/24,,270,"45,398.05",
SAN BENEDETTO GLASS 250ML/24,,1743,"237,449.85",
SAN BENEDETTO LEMON 330ML/24,,199,"33,522.67",
RIM SPARKLING WATER-250 ML,,677,"44,543.64",
Total by Group: SOFT DRINKS,,18260,"1,054,749.33",
Total by Division: GRAB&GO BEVERAGES,,18260,"1,054,749.33",
Division: COFFEE PASTRY,,,,
Group: COFFEE PASTRY,,,,
DOUBLE CHOCOLATE MUFFIN,,345,"71,166.55",
ORANGE CAKE,,94,"28,590.00",
RED VELVET CAKE,,169,"51,721.02",
BROWNIES CAKE,,986,"158,524.63",
LAZY CAKE,,637,"205,562.19",
BLUEBERRY CHEESE CAKE,,257,"93,734.83",
FRAMBOISE CHEESE CAKE,,164,"59,987.09",
LOTUS CHEESE CAKE,,193,"70,940.54",
CHOCOLATE MUFFIN,,9,"1,800.36",
CARROT CAKE,,203,"59,086.22",
BLUEBERRY MUFFIN,,209,"43,128.59",
APRICOT SABLE,,71,"16,953.78",
CHOCOLATE SABLE,,262,"62,853.81",
RED VELVET MUFFIN_,,43,"8,801.32",
Total by Group: COFFEE PASTRY,,3642,"932,850.93",
Total by Division: COFFEE PASTRY,,3642,"932,850.93",
Division: CROISSANT,,,,
Group: CROISSANT,,,,
CHEESE CROISSANT,,851,"179,518.50",
THYME CROISSANT,,286,"55,614.41",
19-Jan-26,Years:2025 Months:0,,Page 9 of,359
Description,Barcode,Qty,Total Amount,
PLAIN CROISSANT,,138,"26,375.68",
CHOCOLATE CROISSANT,,677,"146,277.54",
OLIVE CROISSANT,,1,200,
Total by Group: CROISSANT,,1953,"407,986.13",
Total by Division: CROISSANT,,1953,"407,986.13",
Division: COOKIES,,,,
Group: COOKIES,,,,
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,,618,"201,045.95",
NY STYLE COOKIE - DOUBLE CHOCOLATE,,182,"58,368.47",
Total by Group: COOKIES,,800,"259,414.41",
Total by Division: COOKIES,,800,"259,414.41",
Division: FRENCH PASTRY,,,,
Group: FRENCH PASTRY,,,,
FONDANT AU CHOCOLAT,,284,"100,867.57",
ECLAIR ORIGINAL,,299,"76,690.90",
ECLAIR CHOCOLAT,,236,"59,727.30",
CHRISTMAS ORIGINAL ECLAIR,,150,"37,811.89",
ECLAIR CARAMEL,,158,"39,838.83",
MACARONS,,294,"79,169.37",
CHOCOLATE SALTED CAKE,,206,"66,242.91",
ECLAIR COFFEE,,19,"5,216.22",
CHRISTMAS PISTACHIO ECLAIR,,5,"1,837.84",
Total by Group: FRENCH PASTRY,,1651,"467,402.82",
Total by Division: FRENCH PASTRY,,1651,"467,402.82",
Division: FROZEN YOGHURT,,,,
Group: COMBO TOPPINGS,,,,
GUMMY BEARS COMBO,,2912,0,
GRANOLLA COMBO,,2884,0,
WAFER ROLL COMBO,,2419,0,
MARSHMALLOW COMBO,,3840,0,
BROWNIES COMBO,,3269,0,
LOTUS BISCUIT COMBO,,2940,0,
CHOCOLATE CHIPS COMBO,,3494,0,
OREO COMBO,,2711,0,
SPRINKLES COMBO,,1836,0,
MIXED NUTS COMBO,,1173,0,
OATS COMBO,,308,0,
19-Jan-26,Years:2025 Months:0,,Page 10 of,359
Description,Barcode,Qty,Total Amount,
STRAWBERRY COMBO,,10165,0,
PINEAPPLE COMBO,,4537,0,
MANGO COMBO,,7535,0,
HONEY COMBO,,108,0,
BLUEBERRIES COMBO,,5825,0,
Total by Group: COMBO TOPPINGS,,55956,0,
Group: TOPPINGS,,,,
GRANOLLA,,154,"10,473.03",
WAFER ROLL,,99,"6,977.24",
MARSHMALLOW,,289,"20,012.79",
BROWNIES,,191,"12,911.29",
LOTUS BISCUITS,,185,"12,979.10",
OREO,,274,"19,181.62",
SPRINKLES,,129,"9,044.86",
OATS,,40,"2,743.12",
CHOCOLATE CHIPS,,443,"32,074.77",
MIXED NUTS,,64,"4,370.15",
GUMMY BEARS,,152,"10,670.21",
STRAWBERRY,,592,"43,572.07",
PINEAPPLE,,233,"16,137.54",
MANGO,,399,"29,660.00",
HONEY,,75,"5,355.68",
BLUEBERRIES,,602,"43,408.83",
Total by Group: TOPPINGS,,3921,"279,572.31",
Group: LUXURY TOPPINGS,,,,
PISTACHIO CRUNCH,,1140,"120,291.50",
CHOCOLATE QUELLA CRUNCH,,149,"15,500.84",
CHOCOLATE CRUNCH,,1372,"146,077.93",
VARIEGATO WAFER,,64.5,"6,759.10",
CHOCOLATE QUELLA,,527.5,"55,619.91",
CRUMBOLE RED BERRIES,,59,"6,041.02",
CRUMBOLE PISTACHIO,,81,"8,188.35",
ARABESCHI COCCO SNAK,,4,380.18,
CRUMBLE LEMON,,16,"1,629.43",
VARIEGATO WAFER PISTACHIO,,39,"4,342.34",
Total by Group: LUXURY TOPPINGS,,3452,"364,830.60",
Group: FROZEN YOGHURT,,,,
ORIGINAL YOGHURT SMALL,,340,"109,480.12",
19-Jan-26,Years:2025 Months:0,,Page 11 of,359
Description,Barcode,Qty,Total Amount,
ORIGINAL YOGHURT MEDIUM,,178.5,"64,137.27",
ORIGINAL YOGHURT X-LARGE,,4.5,"2,229.73",
ORIGINAL YOGHURT COMBO SMALL,,2858.1,"991,199.31",
ORIGINAL YOGHURT COMBO MEDIUM,,1436.5,"600,877.40",
ORIGINAL YOGHURT COMBO X-LARGE,,309,"172,412.84",
CHOCOLATE YOGHURT SMALL,,85,"27,048.09",
CHOCOLATE YOGHURT MEDIUM,,42.5,"15,257.39",
CHOCOLATE YOGHURT X-LARGE,,1,466.67,
CHOCOLATE YOGHURT COMBO SMALL,,948.6,"321,820.00",
CHOCOLATE YOGHURT COMBO MEDIUM,,435,"179,058.83",
CHOCOLATE YOGHURT COMBO X-LARGE,,78.5,"44,457.39",
OREO CREAM YOGHURT SMALL,,1,330,
OREO CREAM YOGHURT MEDIUM,,0.5,165.17,
MANGO YOGHURT SMALL,,266.5,"85,722.60",
MANGO YOGHURT COMBO SMALL,,3339.25,"1,113,476.88",
MANGO YOGHURT MEDIUM,,90,"32,253.15",
MANGO YOGHURT COMBO MEDIUM,,1729.7,"717,999.40",
MANGO YOGHURT X-LARGE,,8,"3,906.31",
MANGO YOGHURT COMBO X-LARGE,,293.1,"162,980.10",
PISTACHIO YOGHURT SMALL,,6,"2,490.00",
PISTACHIO YOGHURT COMBO SMALL,,37,"14,218.33",
PISTACHIO YOGHURT COMBO MEDIUM,,9.5,"4,760.00",
PISTACHIO YOGHURT COMBO X-LARGE,,2.5,"1,693.33",
LOTUS YOGHURT SMALL,,24,"7,696.59",
LOTUS YOGHURT MEDIUM,,18.5,"6,523.33",
LOTUS YOGHURT COMBO SMALL,,475,"147,658.20",
LOTUS YOGHURT COMBO MEDIUM,,241,"98,694.65",
LOTUS YOGHURT COMBO X-LARGE,,42.5,"23,935.98",
POMEGRANATE YOGHURT SMALL,,21.5,"6,800.63",
POMEGRANATE YOGHURT COMBO SMALL,,215.75,"67,476.67",
POMEGRANATE YOGHURT COMBO MEDIUM,,87,"34,925.00",
POMEGRANATE YOGHURT MEDIUM,,2.5,866.67,
POMEGRANATE YOGHURT COMBO X-LARGE,,13.5,"7,113.33",
TASTING CUP MANGO,,180,0,
TASTING CUP CHOCOLATE,,127,0,
TASTING CUP OREO,,3,0,
TASTING CUP POMEGRANATE,,6,0,
19-Jan-26,Years:2025 Months:0,,Page 12 of,359
Description,Barcode,Qty,Total Amount,
TASTING CUP SPECULOSE LOTUS,,23,0,
TASTING CUP ORIGINAL YOUGHURT,,207,0,
BLUEBERRY YOGHURT SMALL,,95.5,"30,848.21",
BLUEBERRY YOGHURT COMBO SMALL,,1332.8,"445,925.35",
BLUEBERRY YOGHURT MEDIUM,,34.5,"12,414.26",
BLUEBERRY YOGHURT COMBO MEDIUM,,684.1,"286,197.39",
BLUEBERRY YOGHURT X-LARGE,,3.5,"1,734.23",
BLUEBERRY YOGHURT COMBO X-LARGE,,120,"68,218.65",
TASTING CUP BLUEBERRY,,75,0,
TASTING CUP PISTACHIO,,11,0,
LOTUS SPREAD YOGHURT COMBO MEDIUM,,153,"63,692.19",
LOTUS SPREAD YOGHURT COMBO SMALL,,351.5,"112,378.38",
LOTUS SPREAD YOGHURT COMBO X-LARGE,,47.5,"26,214.71",
LOTUS SPREAD YOGHURT MEDIUM,,4,"1,453.45",
LOTUS SPREAD YOGHURT SMALL,,23,"7,477.48",
LOTUS SPREAD YOGHURT X-LARGE,,1,495.5,
TASTING CUP LOTUS SPREAD,,71,0,
Total by Group: FROZEN YOGHURT,,17194.9,"6,127,181.16",
Group: SPECIALTY YOGHURT,,,,
RICOTTA YOGHURT SMALL,,7,"2,130.00",
RICOTTA YOGHURT COMBO SMALL,,11.5,"3,866.67",
RICOTTA YOGHURT COMBO MEDIUM,,3,"1,200.00",
TASTING CUP RICOTTA,,9,0,
Total by Group: SPECIALTY YOGHURT,,30.5,"7,196.67",
Total by Division: FROZEN YOGHURT,,80554.4,"6,778,780.74",
Division: PLAT DE JOUR,,,,
Group: PLAT DU JOUR,,,,
KIBBEB B LABAN,,42,"26,486.49",
FREEKEH WITH CHICKEN,,36,"22,891.89",
LASAGNA,,44,"27,747.75",
ORIENTAL RICE,,36,"22,765.77",
SHAKRIYEH,,24,"15,198.20",
SHISH BARAK,,38,"23,963.96",
CHICKEN ALFREDO PASTA,,54,"34,054.05",
CHICKEN STROGANOFF,,45,"28,378.38",
KOUSA BE LABAN,,4,"2,522.52",
SPAGHETTI BOLOGNESE,,14,"8,828.83",
19-Jan-26,Years:2025 Months:0,,Page 13 of,359
Description,Barcode,Qty,Total Amount,
VEGETARIAN GRAPE LEAVES,,93,"58,648.65",
ROASTED CHICKEN,,16,"10,090.09",
NOUILLE,,9,"5,801.80",
BUTTER CHICKEN,,23,"14,504.50",
POTATO SOUFFLE,,7,"4,414.41",
Baked Falafel,,1,630.63,
B.B.Q CHICKEN,,8,"5,045.05",
Total by Group: PLAT DU JOUR,,494,"311,972.97",
Total by Division: PLAT DE JOUR,,494,"311,972.97",
Division: SANDWICHES,,,,
Group: SUB SANDWICHES,,,,
TUNA SUB,,577,"206,452.82",
VEGGIE SUB,,1578,"13,406.61",
TURKEY & CHEESE SUB,,1272.5,"478,477.96",
CHICKEN TERIAKI SUB,,1,366.67,
BROWN CHICKEN TERIAKI SUB,,2,720.72,
BROWN TUNA SUB,,396,"156,116.40",
BROWN TURKEY & CHEESE SUB,,611,"247,360.48",
BROWN VEGGIE SUB,,2,800,
PESTO HALLOUMI SUB,,575.5,"171,438.38",
LABNEH SUB,,476,"67,393.87",
BROWN LABNEH SUB,,164,"48,182.70",
BROWN PESTO HALLOUMI SUB,,477,"160,888.59",
BROWN CHICKEN CAESAR SANDWICH,,148,"72,143.69",
CHICKEN CAESAR SANDWICH,,301,"138,651.71",
PULLED BEEF CHIMICHURRI SANDWICH,,20,"8,450.45",
BROWN PULLED BEEF CHIMICHURRI SANDWICH,,18,"8,108.11",
Total by Group: SUB SANDWICHES,,6619,"1,778,959.16",
Total by Division: SANDWICHES,,6619,"1,778,959.16",
Division: CINNAMON ROLLS,,,,
Group: CINNAMONS,,,,
CLASSIC CINNAMON ROLL LARGE,,2400,"680,733.94",
CHOCOLATE ROLL LARGE,,400,"99,323.42",
EXTRA CREAM CHEESE FROSTING MIX,,23,748.95,
RED CINNAMON ROLL,,153,"53,253.15",
LOTUS ROLL,,80,"29,498.20",
Total by Group: CINNAMONS,,3056,"863,557.66",
19-Jan-26,Years:2025 Months:0,,Page 14 of,359
Description,Barcode,Qty,Total Amount,
Total by Division: CINNAMON ROLLS,,3056,"863,557.66",
Division: CARTON,,,,
Group: PACKAGING,,,,
CARTON HANDLE BAG,,1006,0,
SMALL DESSERT BOX(1PCS),,151,0,
MEDIUM DESSERT BOX(2PCS),,25,0,
LARGE DESSERT BOX(4PCS),,30,0,
Total by Group: PACKAGING,,1212,0,
Total by Division: CARTON,,1212,0,
Division: NOT USED,,,,
Group: NOT USED,,,,
