Branch,Division,Group,Item,Qty,Total Amount
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO SMALL,863,198199.66
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO MEDIUM,886,238232.93
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE SMALL,571,126013.54
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE MEDIUM,449,122577.42
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK SMALL,37,3913.27
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK MEDIUM,12,2040.69
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE LARGE,643,178481.32
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA  LARGE,60,18357.75
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO LARGE,193,54282.16
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,STEAMED MILK LARGE,1,200
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA LARGE,317,98680.75
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACCHIATO LARGE,115,36413.12
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE SMALL,299,58144.38
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE MEDIUM,471,111569.05
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MATCHA LATTE LARGE,101,28462.82
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,FLAT WHITE,2179,283608.31
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT SMALL,335,69481.29
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT MEDIUM,185,50738.26
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT LARGE,44,15241.14
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE MEDIUM,319,86903.42
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE SMALL,294,69249.85
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC SMALL,108,23802.17
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC MEDIUM,107,28729.95
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT SMALL,5,1375.38
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3,924.32
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CLASSIC HOT CHOC LARGE,26,8287.96
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE SMALL,768,174998.26
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SPANISH LATTE MEDIUM,578,176355.72
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE SMALL,144,34067.75
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE MEDIUM,221,62348.23
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SALTED CARAMEL LATTE LARGE,32,11130.93
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE LARGE,106,33558.38
Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,TOFFEE NUT LATTE LARGE,43,15054.95
Stories - Bir Hasan,HOT BAR SECTION,TEA,ENGLISH BREAKFAST TEA MEDIUM,166,23935.89
Stories - Bir Hasan,HOT BAR SECTION,TEA,EARL GREY LAVENDER TEA MEDIUM,72,10251.35
Stories - Bir Hasan,HOT BAR SECTION,TEA,ORGANIC GREEN TEA MEDIUM,94,13557.06
Stories - Bir Hasan,HOT BAR SECTION,TEA,SOUTHERN MINT HERBAL TEA MEDIUM,56,8577.03
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD ENGLISH BREAKFAST TEA BAG,8,292.79
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD EARL GREY LAVENDER  BAG,12,426.13
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD GREEN TEA BAG,6,200
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD SOUTHERN MINT HERBAL TEA BAG,9,300
Stories - Bir Hasan,HOT BAR SECTION,TEA,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,62,9030.03
Stories - Bir Hasan,HOT BAR SECTION,TEA,SWEET GINGER PEACH BLACK TEA MEDIUM,68,10192.19
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10,333.33
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD SWEET GINGER PEACH BLACK  TEA BAG,15,517.42
Stories - Bir Hasan,HOT BAR SECTION,TEA,BOMBAY CHAI BLACK TEA MEDIUM,41,6000
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD BOMBAY CHAI TEA BAG,6,200
Stories - Bir Hasan,HOT BAR SECTION,TEA,MEDITERRANEAN CARAMEL TEA MEDIUM,20,3358.86
Stories - Bir Hasan,HOT BAR SECTION,TEA,LEMONGRASS&ORANGE TEA MEDIUM,16,2354.35
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD MEDITERRANEAN CARAMEL TEA BAG,1,33.33
Stories - Bir Hasan,HOT BAR SECTION,TEA,ADD LEMONGRASS&ORANGE TEA BAG,2,84.08
Stories - Bir Hasan,HOT BAR SECTION,BEANS,YIRGACHEFFE BEANS 250G,22,13939.94
Stories - Bir Hasan,HOT BAR SECTION,BEANS,HOUSE BLEND BEANS 250G,45.125,23214.41
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO SMALL,329,60657.16
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO MEDIUM,348,81989.2
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE SMALL,1888,295020.42
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE MEDIUM,2605,621121.77
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA SMALL,338,54684.68
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA MEDIUM,339,92755.56
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA SMALL,1249,256086.85
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA MEDIUM,1888,515809.13
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED AMERICANO LARGE,123,33878.61
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED LATTE LARGE,708,199489.73
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MOCHA LARGE,69,21593.96
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED WHITE MOCHA LARGE,501,155063.09
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN MEDIUM,1013,243831.81
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN LARGE,193,54185.35
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE SMALL,953,192352.97
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE MEDIUM,1651,402051.29
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED MATCHA LATTE LARGE,775,221634.24
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,DOUBLE SHOT SHAKEN SMALL,1286,166815.62
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO SMALL,791,187752.28
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO MEDIUM,1642,454097.9
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CARAMEL MACCHIATO LARGE,417,133285.62
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE SMALL,31,7376.7
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE MEDIUM,96,25806.13
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC MEDIUM,54,14766.13
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC SMALL,37,8665.59
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,BLUE NADE,332,89044.32
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT SMALL,6,1428.42
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3,800.24
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE SMALL,9,1921.92
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE MEDIUM,12,3360.36
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED TOFFEE NUT LATTE LARGE,16,5267.87
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED CLASSIC CHOC LARGE,10,3145.95
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,SIGNATURE ICED CHOCOLATE LARGE,3,912.91
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE SMALL,662,158023.48
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SPANISH LATTE MEDIUM,1249,377626.18
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE SMALL,173,40807.87
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE MEDIUM,326,91862.82
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,ICED SALTED CARAMEL LATTE LARGE,78,26349.25
Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES,COLD BREW BOTTLE,436,59258.26
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE SMALL,225,43743.06
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPPE MEDIUM,229,53259.07
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP SMALL,1640,384807.72
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP MEDIUM,2287,634455.14
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL FRAPP LARGE,846,276544.61
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,COFFEE FRAPP LARGE,181,48653.69
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP SMALL,375,83627.09
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP MEDIUM,725,197497.3
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MOCHA FRAPP LARGE,303,91741.29
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP SMALL,420,78662.16
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP MEDIUM,618,143655.98
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,ESPRESSO FRAPP LARGE,130,34910.99
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP SMALL,147,32336.64
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP MEDIUM,140,36749.19
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA CREAM FRAPP LARGE,42,12720.84
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP SMALL,268,61754.5
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP MEDIUM,413,110217.3
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA FRAPP LARGE,165,50469.37
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP SMALL,38,8269.04
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP MEDIUM,71,18906.31
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP MEDIUM,396,108678.32
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAPP LARGE,53,14921.86
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,WHITE MOCHA CREAM FRAPP LARGE,33,10013.84
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CHOCOLATE CREAM FRAP SMALL,283,63877.45
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP MEDIUM,305,83562.52
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM  FRAPP LARGE,53,16764.29
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,CARAMEL CREAM FRAPP SMALL,391,89490.9
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM  FRAPP SMALL,160,33093.81
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP MEDIUM,248,65878.44
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,MATCHA CREAM FRAPP LARGE,130,40027.6
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP SMALL,674,150796.07
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP MEDIUM,512,140754.23
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY CREAM FRAPP LARGE,144,43479.88
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAP SMALL,113,26294.35
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP MEDIUM,129,34279.64
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,VANILLA FRAPP LARGE,14,4231.65
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP SMALL,25,6027.15
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP MEDIUM,54,14554.96
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,HAZELNUT FRAPP LARGE,5,1410.81
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP SMALL,12,3047.2
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP MEDIUM,36,10334.7
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP SMALL,4,1070.26
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP MEDIUM,10,2905.37
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT CREAM  FRAP LARGE,2,700
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,TOFFEENUT FRAP LARGE,12,4167.57
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE SMALL,73,18120.67
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE SMALL,26,6635.79
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE MEDIUM,66,19179.64
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL CREAM FRAPPE LARGE,23,7453.75
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE MEDIUM,170,49231.14
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,SALTED CARAMEL FRAPPE LARGE,108,36028.53
Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS,STRAWBERRY SHAKE,3,990.99
Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA  SMALL,314,31801.23
Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA  MEDIUM,177,43202.4
Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,ICED LEMON TEA  SMALL,6,1400
Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,ICED LEMON TEA  MEDIUM,2,533.33
Stories - Bir Hasan,COLD BAR SECTION,ICE TEA,ICED PEACH TEA LARGE,78,21673.51
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SMALL,653,14660.36
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SMALL,547,15523.84
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT SMALL,309.5,9922.94
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL MEDIUM,1438,47414.51
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA MEDIUM,1382,45809.01
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT MEDIUM,391,12891.2
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD SHOT,8074.5,238823.39
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHIPPED CREAM,945,32782.52
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA SMALL,32,695.59
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA SMALL,1654,26646.94
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL DRIZZLE,939,31348.02
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CHOCOLATE DRIZZLE,299,10161.11
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL LARGE,477,15990.03
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA LARGE,583,19528.95
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD HAZELNUT LARGE,129,4395.14
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF MEDIUM,1113,37294.2
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF LARGE,361,12098.5
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF SMALL,1362,45294.36
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF MEDIUM,1624,53374.42
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD VANILLA SF LARGE,575,19318.14
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD CARAMEL SF SMALL,1184,39863.36
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD YIRGACHEFFE SHOT,372,12602.58
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 1 SHOT YIRGACHEFFE,2017,132464.38
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 2 SHOT YIRGACHEFFE,1843,120424.44
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,REPLACE 3 SHOT YIRGACHEFFE,300,19814.53
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,NO WHIPPED CREAM,147,0
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA MEDIUM,1155,37790.81
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD WHITE MOCHA LARGE,305,10247.69
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,1 SHOT DECAFE,523,0
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,2 SHOT DECAFE,765,0
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,3 SHOT DECAFE,140,0
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA LARGE,64,2188.14
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MOCHA MEDIUM,101,3425.8
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,STRAWBERRY DRIZZLE TOPPING,49,1610.69
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT SMALL,5,120.12
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD TOFFEE NUT MEDIUM,6,200.03
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE SMALL,31,983.81
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE MEDIUM,51,1613.81
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD BANANA SAUCE LARGE,6,393.39
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE SMALL,61,2033.33
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE MEDIUM,69,2303.33
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD RASPBERRY SAUCE LARGE,26,1746.67
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA SMALL,5,225.23
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA MEDIUM,1,54.05
Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP,ADD MATCHA LARGE,3,186.19
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND SMALL,453,43617.64
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND MEDIUM,632,78077.59
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT SMALL,584,55127.46
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT MEDIUM,681,67769.68
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK SMALL,2445,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK MEDIUM,3421,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE SMALL,2697,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE MEDIUM,3069,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT MEDIUM,234,31192.07
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT SMALL,174,16846.67
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA SMALL,65,6568.02
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA MEDIUM,56,7646.73
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND SMALL,178,18034.32
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND MEDIUM,218,29540.9
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE ALMOND LARGE,197,29879.28
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE COCONUT LARGE,226,23896.12
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE LACTOSE FREE LARGE,635,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SKIMMED MILK LARGE,913,0
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE ALMOND LARGE,86,14423.57
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE OAT LARGE,60,9991.59
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,REPLACE SUGAR FREE SOYA LARGE,17,2870.12
Stories - Bir Hasan,COLD BAR SECTION,REPLACE,ADD FULL FAT MILK,23,0
